datetime,Flow,Avg kph
2024-01-04 14:00,47,47
2024-01-04 14:10,45,48
2024-01-04 14:20,45,46
2024-01-04 14:30,45,43
2024-01-04 14:40,41,43
2024-01-04 14:50,37,43
2024-01-04 15:00,34,42
2024-01-04 15:10,30,42
2024-01-04 15:20,26,42
2024-01-04 15:30,25,43
2024-01-04 15:40,25,44
2024-01-04 15:50,24,46
2024-01-04 16:00,24,47
2024-01-04 16:10,23,48
2024-01-04 16:20,23,50
2024-01-04 16:30,22,51
2024-01-04 16:40,34,43
2024-01-04 16:50,47,36
2024-01-04 17:00,64,32
2024-01-04 17:10,80,29
2024-01-04 17:20,97,26
2024-01-04 17:30,114,23
2024-01-04 17:40,131,20
2024-01-04 17:50,148,16
2024-01-04 18:00,164,13
2024-01-04 18:10,181,10
2024-01-04 18:20,106,16
2024-01-04 18:30,102,18
2024-01-04 18:40,99,19
2024-01-04 18:50,95,21
2024-01-04 19:00,92,23
2024-01-04 19:10,88,25
2024-01-04 19:20,85,27
2024-01-04 19:30,81,29
2024-01-04 19:40,78,31
2024-01-04 19:50,74,33
2024-01-04 20:00,71,35
2024-01-04 20:10,67,36
2024-01-04 20:20,64,38
2024-01-04 20:30,60,40
2024-01-04 20:40,56,42
2024-01-04 20:50,53,44
2024-01-04 21:00,49,46
2024-01-04 21:10,46,48
2024-01-04 21:20,42,50
2024-01-04 21:30,39,52
2024-01-04 21:40,35,54
2024-01-04 21:50,32,56
2024-01-04 22:00,28,57
2024-01-04 22:10,25,59
2024-01-04 22:20,21,61
2024-01-04 22:30,18,62
2024-01-04 22:40,16,63
2024-01-04 22:50,17,61
2024-01-04 23:00,18,60
2024-01-04 23:10,20,58
2024-01-04 23:20,21,56
2024-01-04 23:30,22,55
2024-01-04 23:40,23,53
2024-01-04 23:50,20,58
2024-01-05 00:00,17,63
2024-01-05 00:10,14,68
2024-01-05 00:20,16,66
2024-01-05 00:30,17,64
2024-01-05 00:40,19,63
2024-01-05 00:50,20,61
2024-01-05 01:00,22,59
2024-01-05 01:10,23,57
2024-01-05 01:20,25,55
2024-01-05 01:30,19,53
2024-01-05 01:40,17,58
2024-01-05 01:50,15,62
2024-01-05 02:00,13,67
2024-01-05 02:10,13,65
2024-01-05 02:20,13,63
2024-01-05 02:30,13,61
2024-01-05 02:40,13,59
2024-01-05 02:50,13,57
2024-01-05 03:00,13,55
2024-01-05 03:10,13,53
2024-01-05 03:20,14,56
2024-01-05 03:30,15,59
2024-01-05 03:40,16,62
2024-01-05 03:50,17,65
2024-01-05 04:00,14,66
2024-01-05 04:10,12,68
2024-01-05 04:20,14,67
2024-01-05 04:30,16,67
2024-01-05 04:40,22,54
2024-01-05 04:50,29,42
2024-01-05 05:00,27,43
2024-01-05 05:10,26,44
2024-01-05 05:20,24,44
2024-01-05 05:30,23,45
2024-01-05 05:40,21,46
2024-01-05 05:50,20,47
2024-01-05 06:00,18,48
2024-01-05 06:10,17,49
2024-01-05 06:20,15,50
2024-01-05 06:30,14,50
2024-01-05 06:40,12,51
2024-01-05 06:50,19,57
2024-01-05 07:00,50,47
2024-01-05 07:10,82,37
2024-01-05 07:20,114,27
2024-01-05 07:30,145,18
2024-01-05 07:40,141,19
2024-01-05 07:50,137,20
2024-01-05 08:00,133,21
2024-01-05 08:10,129,22
2024-01-05 08:20,138,10
2024-01-05 08:30,186,14
2024-01-05 08:40,178,15
2024-01-05 08:50,169,16
2024-01-05 09:00,161,17
2024-01-05 09:10,152,17
2024-01-05 09:20,144,18
2024-01-05 09:30,136,19
2024-01-05 09:40,127,20
2024-01-05 09:50,119,20
2024-01-05 10:00,111,21
2024-01-05 10:10,102,22
2024-01-05 10:20,94,23
2024-01-05 10:30,86,23
2024-01-05 10:40,77,24
2024-01-05 10:50,69,25
2024-01-05 11:00,60,25
2024-01-05 11:10,52,26
2024-01-05 11:20,54,27
2024-01-05 11:30,56,28
2024-01-05 11:40,57,29
2024-01-05 11:50,59,30
2024-01-05 12:00,61,31
2024-01-05 12:10,62,32
2024-01-05 12:20,64,32
2024-01-05 12:30,66,33
2024-01-05 12:40,77,33
2024-01-05 12:50,87,33
2024-01-05 13:00,98,34
2024-01-05 13:10,91,32
2024-01-05 13:20,84,31
2024-01-05 13:30,76,30
2024-01-05 13:40,69,29
2024-01-05 13:50,66,30
2024-01-05 14:00,62,32
2024-01-05 14:10,58,34
2024-01-05 14:20,55,35
2024-01-05 14:30,52,37
2024-01-05 14:40,48,39
2024-01-05 14:50,41,27
2024-01-05 15:00,43,31
2024-01-05 15:10,44,34
2024-01-05 15:20,46,37
2024-01-05 15:30,48,40
2024-01-05 15:40,42,38
2024-01-05 15:50,36,35
2024-01-05 16:00,30,32
2024-01-05 16:10,43,29
2024-01-05 16:20,56,25
2024-01-05 16:30,70,21
2024-01-05 16:40,83,17
2024-01-05 16:50,96,14
2024-01-05 17:00,109,10
2024-01-05 17:10,179,10
2024-01-05 17:20,207,10
2024-01-05 17:30,235,11
2024-01-05 17:40,263,11
2024-01-05 17:50,227,12
2024-01-05 18:00,192,12
2024-01-05 18:10,156,13
2024-01-05 18:20,120,14
2024-01-05 18:30,85,14
2024-01-05 18:40,49,15
2024-01-05 18:50,204,10
2024-01-05 19:00,155,10
2024-01-05 19:10,152,16
2024-01-05 19:20,173,13
2024-01-05 19:30,193,10
2024-01-05 19:40,151,19
2024-01-05 19:50,116,31
2024-01-05 20:00,81,44
2024-01-05 20:10,46,57
2024-01-05 20:20,11,69
2024-01-05 20:30,14,52
2024-01-05 20:40,21,46
2024-01-05 20:50,27,40
2024-01-05 21:00,34,34
2024-01-05 21:10,34,35
2024-01-05 21:20,33,36
2024-01-05 21:30,33,37
2024-01-05 21:40,33,38
2024-01-05 21:50,32,38
2024-01-05 22:00,32,39
2024-01-05 22:10,32,40
2024-01-05 22:20,31,41
2024-01-05 22:30,31,42
2024-01-05 22:40,31,43
2024-01-05 22:50,30,44
2024-01-05 23:00,30,44
2024-01-05 23:10,30,45
2024-01-05 23:20,29,46
2024-01-05 23:30,29,47
2024-01-05 23:40,15,53
2024-01-05 23:50,15,54
2024-01-06 00:00,15,54
2024-01-06 00:10,14,53
2024-01-06 00:20,13,52
2024-01-06 00:30,13,50
2024-01-06 00:40,12,49
2024-01-06 00:50,11,48
2024-01-06 01:00,10,49
2024-01-06 01:10,10,50
2024-01-06 01:20,10,51
2024-01-06 01:30,9,52
2024-01-06 01:40,9,60
2024-01-06 01:50,9,67
2024-01-06 02:00,12,61
2024-01-06 02:10,15,56
2024-01-06 02:20,15,57
2024-01-06 02:30,15,57
2024-01-06 02:40,15,58
2024-01-06 02:50,14,57
2024-01-06 03:00,13,57
2024-01-06 03:10,12,57
2024-01-06 03:20,10,56
2024-01-06 03:30,9,56
2024-01-06 03:40,8,56
2024-01-06 03:50,7,55
2024-01-06 04:00,8,56
2024-01-06 04:10,10,57
2024-01-06 04:20,11,58
2024-01-06 04:30,12,59
2024-01-06 04:40,14,60
2024-01-06 04:50,15,61
2024-01-06 05:00,15,63
2024-01-06 05:10,15,65
2024-01-06 05:20,14,67
2024-01-06 05:30,14,68
2024-01-06 05:40,14,70
2024-01-06 05:50,14,72
2024-01-06 06:00,16,66
2024-01-06 06:10,18,60
2024-01-06 06:20,19,53
2024-01-06 06:30,21,47
2024-01-06 06:40,23,41
2024-01-06 06:50,25,34
2024-01-06 07:00,26,28
2024-01-06 07:10,31,29
2024-01-06 07:20,29,32
2024-01-06 07:30,26,35
2024-01-06 07:40,24,38
2024-01-06 07:50,26,36
2024-01-06 08:00,29,34
2024-01-06 08:10,31,32
2024-01-06 08:20,34,30
2024-01-06 08:30,36,28
2024-01-06 08:40,39,26
2024-01-06 08:50,41,24
2024-01-06 09:00,50,20
2024-01-06 09:10,58,16
2024-01-06 09:20,50,16
2024-01-06 09:30,41,16
2024-01-06 09:40,33,16
2024-01-06 09:50,34,22
2024-01-06 10:00,36,28
2024-01-06 10:10,37,34
2024-01-06 10:20,38,35
2024-01-06 10:30,38,36
2024-01-06 10:40,39,37
2024-01-06 10:50,39,38
2024-01-06 11:00,40,39
2024-01-06 11:10,41,40
2024-01-06 11:20,41,41
2024-01-06 11:30,42,42
2024-01-06 11:40,43,43
2024-01-06 11:50,43,44
2024-01-06 12:00,44,45
2024-01-06 12:10,44,46
2024-01-06 12:20,45,47
2024-01-06 12:30,44,42
2024-01-06 12:40,44,38
2024-01-06 12:50,43,33
2024-01-06 13:00,42,35
2024-01-06 13:10,41,37
2024-01-06 13:20,40,39
2024-01-06 13:30,39,41
2024-01-06 13:40,38,42
2024-01-06 13:50,37,44
2024-01-06 14:00,36,46
2024-01-06 14:10,35,48
2024-01-06 14:20,38,46
2024-01-06 14:30,40,43
2024-01-06 14:40,43,41
2024-01-06 14:50,42,39
2024-01-06 15:00,40,37
2024-01-06 15:10,39,35
2024-01-06 15:20,37,34
2024-01-06 15:30,36,32
2024-01-06 15:40,34,30
2024-01-06 15:50,33,28
2024-01-06 16:00,34,34
2024-01-06 16:10,35,39
2024-01-06 16:20,35,45
2024-01-06 16:30,36,50
2024-01-06 16:40,37,56
2024-01-06 16:50,41,52
2024-01-06 17:00,45,48
2024-01-06 17:10,50,44
2024-01-06 17:20,54,40
2024-01-06 17:30,58,36
2024-01-06 17:40,62,32
2024-01-06 17:50,67,28
2024-01-06 18:00,71,25
2024-01-06 18:10,75,21
2024-01-06 18:20,82,17
2024-01-06 18:30,90,14
2024-01-06 18:40,97,10
2024-01-06 18:50,97,10
2024-01-06 19:00,98,10
2024-01-06 19:10,98,10
2024-01-06 19:20,98,10
2024-01-06 19:30,83,10
2024-01-06 19:40,69,10
2024-01-06 19:50,54,10
2024-01-06 20:00,33,32
2024-01-06 20:10,12,54
2024-01-06 20:20,12,54
2024-01-06 20:30,12,55
2024-01-06 20:40,12,55
2024-01-06 20:50,12,55
2024-01-06 21:00,11,57
2024-01-06 21:10,9,59
2024-01-06 21:20,8,61
2024-01-06 21:30,8,62
2024-01-06 21:40,9,61
2024-01-06 21:50,9,60
2024-01-06 22:00,9,59
2024-01-06 22:10,9,58
2024-01-06 22:20,9,57
2024-01-06 22:30,10,56
2024-01-06 22:40,10,55
2024-01-06 22:50,10,54
2024-01-06 23:00,10,54
2024-01-06 23:10,10,55
2024-01-06 23:20,9,56
2024-01-06 23:30,10,55
2024-01-06 23:40,11,55
2024-01-06 23:50,12,54
2024-01-07 00:00,13,54
2024-01-07 00:10,13,55
2024-01-07 00:20,13,57
2024-01-07 00:30,13,59
2024-01-07 00:40,13,61
2024-01-07 00:50,13,62
2024-01-07 01:00,13,64
2024-01-07 01:10,13,66
2024-01-07 01:20,13,70
2024-01-07 01:30,12,74
2024-01-07 01:40,12,78
2024-01-07 01:50,10,70
2024-01-07 02:00,8,62
2024-01-07 02:10,10,67
2024-01-07 02:20,11,72
2024-01-07 02:30,12,76
2024-01-07 02:40,13,71
2024-01-07 02:50,13,67
2024-01-07 03:00,14,62
2024-01-07 03:10,14,57
2024-01-07 03:20,15,52
2024-01-07 03:30,14,54
2024-01-07 03:40,13,55
2024-01-07 03:50,12,57
2024-01-07 04:00,11,58
2024-01-07 04:10,10,60
2024-01-07 04:20,9,62
2024-01-07 04:30,9,61
2024-01-07 04:40,10,60
2024-01-07 04:50,10,59
2024-01-07 05:00,10,58
2024-01-07 05:10,10,57
2024-01-07 05:20,11,56
2024-01-07 05:30,11,55
2024-01-07 05:40,10,55
2024-01-07 05:50,8,55
2024-01-07 06:00,6,56
2024-01-07 06:10,5,56
2024-01-07 06:20,12,54
2024-01-07 06:30,18,53
2024-01-07 06:40,21,50
2024-01-07 06:50,24,46
2024-01-07 07:00,27,43
2024-01-07 07:10,30,40
2024-01-07 07:20,33,36
2024-01-07 07:30,36,33
2024-01-07 07:40,36,34
2024-01-07 07:50,36,35
2024-01-07 08:00,36,36
2024-01-07 08:10,36,37
2024-01-07 08:20,36,38
2024-01-07 08:30,36,39
2024-01-07 08:40,36,40
2024-01-07 08:50,36,41
2024-01-07 09:00,36,42
2024-01-07 09:10,36,43
2024-01-07 09:20,36,44
2024-01-07 09:30,36,45
2024-01-07 09:40,36,46
2024-01-07 09:50,35,47
2024-01-07 10:00,35,48
2024-01-07 10:10,35,49
2024-01-07 10:20,35,50
2024-01-07 10:30,35,51
2024-01-07 10:40,35,52
2024-01-07 10:50,35,53
2024-01-07 11:00,38,49
